Label (Grouping),RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher",RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher
        Estimate,,(X),98.80%,94.40%,(X),100.00%,98.40%,(X),93.50%,56.10%,(X),-,-,(X),0.00%,0.00%,(X),-,-,(X),91.50%,91.50%,(X),100.00%,100.00%,(X),83.90%,46.80%
        Margin of Error,,(X),±4.1,±15.1,(X),±10.1,±3.3,(X),±4.0,±10.4,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±33.7,±33.7,(X),±100.0,±100.0,(X),±32.4,±53.2
"Census Tract 95.03, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,449,449,428,435,435,414,"1,722","1,603",774,0,0,0,33,33,18,0,0,0,0,0,0,0,0,0,14,14,14
        Margin of Error,,±107,±107,±103,±111,±111,±107,±273,±256,±145,±13,±13,±13,±43,±43,±22,±13,±13,±13,±13,±13,±13,±13,±13,±13,±21,±21,±21
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,95.30%,(X),100.00%,95.20%,(X),93.10%,44.90%,(X),-,-,(X),100.00%,54.50%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%
        Margin of Error,,(X),±8.5,±5.3,(X),±8.8,±5.5,(X),±4.6,±7.3,(X),**,**,(X),±57.3,±24.0,(X),**,**,(X),**,**,(X),**,**,(X),±87.9,±87.9
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,221,221,209,207,207,195,718,677,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14
        Margin of Error,,±63,±63,±61,±68,±68,±66,±176,±170,±95,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±21,±21,±21
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,94.60%,(X),100.00%,94.20%,(X),94.30%,34.50%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%
        Margin of Error,,(X),±16.5,±8.4,(X),±17.5,±9.0,(X),±4.4,±11.0,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±87.9,±87.9
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,228,228,219,228,228,219,"1,004",926,526,0,0,0,33,33,18,0,0,0,0,0,0,0,0,0,0,0,0
        Margin of Error,,±78,±78,±76,±78,±78,±76,±164,±147,±124,±13,±13,±13,±43,±43,±22,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,96.10%,(X),100.00%,96.10%,(X),92.20%,52.40%,(X),-,-,(X),100.00%,54.50%,(X),-,-,(X),-,-,(X),-,-,(X),-,-
        Margin of Error,,(X),±16.0,±6.5,(X),±16.0,±6.5,(X),±6.5,±9.9,(X),**,**,(X),±57.3,±24.0,(X),**,**,(X),**,**,(X),**,**,(X),**,**
"Census Tract 95.04, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,734,706,583,691,663,540,"1,365","1,232",451,12,12,12,406,406,380,0,0,0,28,28,11,19,19,19,96,96,79
        Margin of Error,,±166,±164,±141,±178,±177,±152,±359,±336,±149,±28,±28,±28,±315,±315,±309,±13,±13,±13,±34,±34,±18,±30,±30,±30,±69,±69,±60
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),96.20%,79.40%,(X),95.90%,78.10%,(X),90.30%,33.00%,(X),100.00%,100.00%,(X),100.00%,93.60%,(X),-,-,(X),100.00%,39.30%,(X),100.00%,100.00%,(X),100.00%,82.30%
        Margin of Error,,(X),±5.6,±10.9,(X),±6.0,±11.5,(X),±8.7,±10.0,(X),±95.0,±95.0,(X),±9.4,±11.5,(X),**,**,(X),±62.2,±58.3,(X),±75.5,±75.5,(X),±32.7,±26.2
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,423,423,324,412,412,313,525,488,120,12,12,12,114,114,102,0,0,0,0,0,0,9,9,9,23,23,23
        Margin of Error,,±111,±111,±97,±108,±108,±93,±193,±191,±71,±28,±28,±28,±134,±134,±133,±13,±13,±13,±13,±13,±13,±16,±16,±16,±32,±32,±32
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,76.60%,(X),100.00%,76.00%,(X),93.00%,22.90%,(X),100.00%,100.00%,(X),100.00%,89.50%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±9.0,±16.0,(X),±9.2,±16.3,(X),±8.4,±10.8,(X),±95.0,±95.0,(X),±28.8,±23.4,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±68.6,±68.6
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,311,283,259,279,251,227,840,744,331,0,0,0,292,292,278,0,0,0,28,28,11,10,10,10,73,73,56
        Margin of Error,,±95,±85,±89,±106,±97,±97,±282,±244,±127,±13,±13,±13,±196,±196,±191,±13,±13,±13,±34,±34,±18,±15,±15,±15,±63,±63,±53
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),91.00%,83.30%,(X),90.00%,81.40%,(X),88.60%,39.40%,(X),-,-,(X),100.00%,95.20%,(X),-,-,(X),100.00%,39.30%,(X),100.00%,100.00%,(X),100.00%,76.70%
        Margin of Error,,(X),±12.5,±14.8,(X),±14.0,±16.5,(X),±14.4,±13.4,(X),**,**,(X),±12.8,±8.5,(X),**,**,(X),±62.2,±58.3,(X),±100.0,±100.0,(X),±38.5,±35.2
"Census Tract 95.05, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,349,341,308,347,341,308,"2,392","2,272",772,14,14,0,46,46,39,0,0,0,82,33,18,183,168,125,127,61,26
        Margin of Error,,±104,±103,±91,±104,±103,±91,±435,±410,±228,±21,±21,±13,±49,±49,±50,±13,±13,±13,±38,±34,±30,±169,±158,±148,±69,±61,±33
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),97.70%,88.30%,(X),98.30%,88.80%,(X),95.00%,32.30%,(X),100.00%,0.00%,(X),100.00%,84.80%,(X),-,-,(X),40.20%,22.00%,(X),91.80%,68.30%,(X),48.00%,20.50%
        Margin of Error,,(X),±3.3,±9.5,(X),±2.3,±9.4,(X),±3.3,±7.1,(X),±87.9,±87.9,(X),±48.5,±37.7,(X),**,**,(X),±30.1,±29.7,(X),±15.7,±41.1,(X),±21.2,±23.0
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,248,240,229,246,240,229,905,824,281,8,8,0,0,0,0,0,0,0,36,10,10,56,56,13,66,38,10
        Margin of Error,,±92,±90,±89,±91,±90,±89,±258,±230,±151,±11,±11,±13,±13,±13,±13,±13,±13,±13,±23,±17,±17,±57,±57,±20,±42,±49,±17
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),96.80%,92.30%,(X),97.60%,93.10%,(X),91.00%,31.00%,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),27.80%,27.80%,(X),100.00%,23.20%,(X),57.60%,15.20%
        Margin of Error,,(X),±4.7,±6.8,(X),±3.2,±6.1,(X),±6.0,±12.0,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),±34.1,±34.1,(X),±44.0,±36.8,(X),±37.5,±22.6
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,101,101,79,101,101,79,"1,487","1,448",491,6,6,0,46,46,39,0,0,0,46,23,8,127,112,112,61,23,16
        Margin of Error,,±60,±60,±42,±60,±60,±42,±342,±334,±151,±11,±11,±13,±49,±49,±50,±13,±13,±13,±25,±25,±13,±150,±146,±146,±34,±26,±19
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,78.20%,(X),100.00%,78.20%,(X),97.40%,33.00%,(X),100.00%,0.00%,(X),100.00%,84.80%,(X),-,-,(X),50.00%,17.40%,(X),88.20%,88.20%,(X),37.70%,26.20%
        Margin of Error,,(X),±31.5,±25.3,(X),±31.5,±25.3,(X),±3.3,±9.8,(X),±100.0,±100.0,(X),±48.5,±37.7,(X),**,**,(X),±33.4,±27.3,(X),±30.9,±30.9,(X),±28.8,±28.2
"Census Tract 95.07, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,67,67,63,67,67,63,"1,014",982,229,0,0,0,4,4,4,0,0,0,188,121,54,23,23,23,188,121,54
        Margin of Error,,±47,±47,±46,±47,±47,±46,±217,±214,±107,±13,±13,±13,±6,±6,±6,±13,±13,±13,±148,±105,±76,±20,±20,±20,±148,±105,±76
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,94.00%,(X),100.00%,94.00%,(X),96.80%,22.60%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),64.40%,28.70%,(X),100.00%,100.00%,(X),64.40%,28.70%
        Margin of Error,,(X),±40.2,±8.9,(X),±40.2,±8.9,(X),±2.5,±9.2,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±28.7,±34.4,(X),±68.6,±68.6,(X),±28.7,±34.4
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,41,41,37,41,41,37,443,431,60,0,0,0,4,4,4,0,0,0,126,84,31,0,0,0,126,84,31
        Margin of Error,,±30,±30,±29,±30,±30,±29,±133,±129,±55,±13,±13,±13,±6,±6,±6,±13,±13,±13,±97,±64,±45,±13,±13,±13,±97,±64,±45
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,90.20%,(X),100.00%,90.20%,(X),97.30%,13.50%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),66.70%,24.60%,(X),-,-,(X),66.70%,24.60%
        Margin of Error,,(X),±51.4,±14.7,(X),±51.4,±14.7,(X),±4.5,±11.0,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±22.6,±35.8,(X),**,**,(X),±22.6,±35.8
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,26,26,26,26,26,26,571,551,169,0,0,0,0,0,0,0,0,0,62,37,23,23,23,23,62,37,23
        Margin of Error,,±19,±19,±19,±19,±19,±19,±129,±128,±79,±13,±13,±13,±13,±13,±13,±13,±13,±13,±59,±51,±32,±20,±20,±20,±59,±51,±32
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),96.50%,29.60%,(X),-,-,(X),-,-,(X),-,-,(X),59.70%,37.10%,(X),100.00%,100.00%,(X),59.70%,37.10%
        Margin of Error,,(X),±64.5,±64.5,(X),±64.5,±64.5,(X),±2.8,±13.4,(X),**,**,(X),**,**,(X),**,**,(X),±47.5,±29.9,(X),±68.6,±68.6,(X),±47.5,±29.9
"Census Tract 95.08, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,198,198,162,142,142,131,"2,450","2,300",698,73,58,0,37,26,2,0,0,0,244,179,7,141,127,68,389,310,65
        Margin of Error,,±114,±114,±108,±100,±100,±98,"±1,034","±1,053",±201,±110,±87,±13,±33,±23,±4,±13,±13,±13,±202,±190,±18,±104,±97,±46,±198,±181,±62
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,81.80%,(X),100.00%,92.30%,(X),93.90%,28.50%,(X),79.50%,0.00%,(X),70.30%,5.40%,(X),-,-,(X),73.40%,2.90%,(X),90.10%,48.20%,(X),79.70%,16.70%
        Margin of Error,,(X),±18.2,±18.5,(X),±24.2,±11.4,(X),±7.6,±14.2,(X),±9.6,±38.5,(X),±37.9,±10.3,(X),**,**,(X),±39.1,±8.4,(X),±15.3,±19.6,(X),±21.8,±18.8
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,103,103,92,83,83,72,819,751,269,39,39,0,16,16,1,0,0,0,149,116,7,56,56,16,231,198,41
        Margin of Error,,±75,±75,±72,±59,±59,±56,±216,±206,±110,±60,±60,±13,±24,±24,±2,±13,±13,±13,±125,±120,±18,±64,±64,±21,±124,±119,±45
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,89.30%,(X),100.00%,86.70%,(X),91.70%,32.80%,(X),100.00%,0.00%,(X),100.00%,6.30%,(X),-,-,(X),77.90%,4.70%,(X),100.00%,28.60%,(X),85.70%,17.70%
        Margin of Error,,(X),±31.1,±15.2,(X),±35.9,±18.4,(X),±8.6,±11.6,(X),±52.7,±52.7,(X),±82.2,±17.3,(X),**,**,(X),±35.0,±14.9,(X),±44.0,±41.2,(X),±19.0,±23.9
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,95,95,70,59,59,59,"1,631","1,549",429,34,19,0,21,10,1,0,0,0,95,63,0,85,71,52,158,112,24
        Margin of Error,,±63,±63,±53,±50,±50,±50,±979,±994,±178,±52,±30,±13,±34,±16,±2,±13,±13,±13,±90,±83,±13,±59,±54,±42,±96,±83,±31
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,73.70%,(X),100.00%,100.00%,(X),95.00%,26.30%,(X),55.90%,0.00%,(X),47.60%,4.80%,(X),-,-,(X),66.30%,0.00%,(X),83.50%,61.20%,(X),70.90%,15.20%
        Margin of Error,,(X),±32.9,±33.9,(X),±42.8,±42.8,(X),±7.4,±19.4,(X),±17.8,±56.4,(X),±17.2,±18.7,(X),**,**,(X),±49.4,±32.9,(X),±26.1,±22.6,(X),±28.9,±22.1
"Census Tract 95.09, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,300,288,277,288,288,277,"1,894","1,792",647,0,0,0,0,0,0,0,0,0,196,82,51,0,0,0,179,40,16
        Margin of Error,,±132,±128,±124,±128,±128,±124,±253,±264,±181,±13,±13,±13,±13,±13,±13,±13,±13,±13,±140,±93,±52,±13,±13,±13,±129,±52,±26
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),96.00%,92.30%,(X),100.00%,96.20%,(X),94.60%,34.20%,(X),-,-,(X),-,-,(X),-,-,(X),41.80%,26.00%,(X),-,-,(X),22.30%,8.90%
        Margin of Error,,(X),±6.5,±7.0,(X),±12.9,±5.4,(X),±3.0,±7.5,(X),**,**,(X),**,**,(X),**,**,(X),±44.6,±25.4,(X),**,**,(X),±26.2,±15.3
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,122,110,110,110,110,110,721,694,122,0,0,0,0,0,0,0,0,0,118,51,51,0,0,0,120,28,16
        Margin of Error,,±69,±67,±67,±67,±67,±67,±153,±154,±79,±13,±13,±13,±13,±13,±13,±13,±13,±13,±82,±52,±52,±13,±13,±13,±81,±35,±26
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),90.20%,90.20%,(X),100.00%,100.00%,(X),96.30%,16.90%,(X),-,-,(X),-,-,(X),-,-,(X),43.20%,43.20%,(X),-,-,(X),23.30%,13.30%
        Margin of Error,,(X),±15.8,±15.8,(X),±29.6,±29.6,(X),±4.2,±10.3,(X),**,**,(X),**,**,(X),**,**,(X),±42.0,±42.0,(X),**,**,(X),±24.6,±20.9
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,178,178,167,178,178,167,"1,173","1,098",525,0,0,0,0,0,0,0,0,0,78,31,0,0,0,0,59,12,0
        Margin of Error,,±88,±88,±86,±88,±88,±86,±185,±191,±148,±13,±13,±13,±13,±13,±13,±13,±13,±13,±61,±44,±13,±13,±13,±13,±52,±21,±13
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,93.80%,(X),100.00%,93.80%,(X),93.60%,44.80%,(X),-,-,(X),-,-,(X),-,-,(X),39.70%,0.00%,(X),-,-,(X),20.30%,0.00%
        Margin of Error,,(X),±20.0,±9.4,(X),±20.0,±9.4,(X),±3.7,±8.9,(X),**,**,(X),**,**,(X),**,**,(X),±51.1,±37.2,(X),**,**,(X),±36.8,±42.8
"Census Tract 95.10, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,248,220,139,220,220,139,"2,161","1,961",421,12,12,12,52,52,39,0,0,0,632,261,58,62,62,49,706,274,58
        Margin of Error,,±97,±92,±68,±92,±92,±68,±649,±643,±172,±20,±20,±20,±58,±58,±43,±19,±19,±19,±244,±144,±58,±59,±59,±46,±237,±147,±58
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),88.70%,56.00%,(X),100.00%,63.20%,(X),90.70%,19.50%,(X),100.00%,100.00%,(X),100.00%,75.00%,(X),-,-,(X),41.30%,9.20%,(X),100.00%,79.00%,(X),38.80%,8.20%
        Margin of Error,,(X),±17.1,±16.4,(X),±16.6,±19.6,(X),±5.0,±9.2,(X),±95.0,±95.0,(X),±45.6,±27.7,(X),**,**,(X),±19.8,±9.0,(X),±41.8,±23.8,(X),±18.1,±8.0
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,153,125,60,125,125,60,887,785,240,0,0,0,26,26,26,0,0,0,434,116,34,13,13,0,475,129,34
        Margin of Error,,±65,±59,±42,±59,±59,±42,±216,±217,±120,±19,±19,±19,±29,±29,±29,±19,±19,±19,±200,±86,±40,±20,±20,±19,±193,±89,±40
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),81.70%,39.20%,(X),100.00%,48.00%,(X),88.50%,27.10%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),26.70%,7.80%,(X),100.00%,0.00%,(X),27.20%,7.20%
        Margin of Error,,(X),±27.1,±22.4,(X),±26.8,±30.0,(X),±8.3,±11.0,(X),**,**,(X),±64.5,±64.5,(X),**,**,(X),±22.0,±9.4,(X),±91.2,±91.2,(X),±20.4,±8.4
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,95,95,79,95,95,79,"1,274","1,176",181,12,12,12,26,26,13,0,0,0,198,145,24,49,49,49,231,145,24
        Margin of Error,,±62,±62,±53,±62,±62,±53,±620,±614,±118,±20,±20,±20,±29,±29,±19,±19,±19,±19,±95,±91,±39,±46,±46,±46,±108,±91,±39
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,83.20%,(X),100.00%,83.20%,(X),92.30%,14.20%,(X),100.00%,100.00%,(X),100.00%,50.00%,(X),-,-,(X),73.20%,12.10%,(X),100.00%,100.00%,(X),62.80%,10.40%
        Margin of Error,,(X),±32.9,±15.8,(X),±32.9,±15.8,(X),±7.0,±10.9,(X),±95.0,±95.0,(X),±64.5,±50.0,(X),**,**,(X),±27.7,±19.6,(X),±47.0,±47.0,(X),±28.5,±16.9
"Census Tract 95.11, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,155,155,135,145,145,125,25,18,11,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,20,20,14
        Margin of Error,,±86,±86,±77,±85,±85,±77,±27,±28,±21,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±17,±17,±8,±24,±24,±19
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,87.10%,(X),100.00%,86.20%,(X),72.00%,44.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,40.00%,(X),100.00%,70.00%
        Margin of Error,,(X),±22.5,±15.7,(X),±23.8,±16.8,(X),±70.4,±56.0,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±60.0,(X),±73.6,±70.0
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,118,118,110,115,115,107,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
        Margin of Error,,±82,±82,±74,±81,±81,±73,±11,±11,±11,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±8,±8,±8
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,93.20%,(X),100.00%,93.00%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%
        Margin of Error,,(X),±28.1,±13.4,(X),±28.6,±13.7,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±100.0
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,37,37,25,30,30,18,21,14,7,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,17,17,11
        Margin of Error,,±38,±38,±29,±33,±33,±25,±25,±25,±17,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±17,±17,±8,±23,±23,±18
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,67.60%,(X),100.00%,60.00%,(X),66.70%,33.30%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,40.00%,(X),100.00%,64.70%
        Margin of Error,,(X),±54.1,±53.0,(X),±60.1,±60.0,(X),±66.7,±66.7,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±60.0,(X),±79.8,±64.7
"Census Tract 96.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,57,35,33,57,35,33,"1,360","1,151",295,0,0,0,1,1,0,0,0,0,10,10,0,66,66,42,71,71,37
        Margin of Error,,±44,±32,±32,±44,±32,±32,±229,±213,±91,±13,±13,±13,±2,±2,±13,±13,±13,±13,±15,±15,±13,±86,±86,±54,±86,±86,±53
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),61.40%,57.90%,(X),61.40%,57.90%,(X),84.60%,21.70%,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),100.00%,0.00%,(X),100.00%,63.60%,(X),100.00%,52.10%
        Margin of Error,,(X),±37.3,±35.9,(X),±37.3,±35.9,(X),±7.2,±6.6,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±100.0,±100.0,(X),±40.5,±8.8,(X),±39.0,±21.0
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,23,21,21,23,21,21,440,342,90,0,0,0,1,1,0,0,0,0,0,0,0,14,14,14,14,14,14
        Margin of Error,,±26,±26,±26,±26,±26,±26,±143,±113,±57,±13,±13,±13,±2,±2,±13,±13,±13,±13,±13,±13,±13,±20,±20,±20,±20,±20,±20
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),91.30%,91.30%,(X),91.30%,91.30%,(X),77.70%,20.50%,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±32.6,±32.6,(X),±32.6,±32.6,(X),±13.9,±12.1,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),**,**,(X),±87.9,±87.9,(X),±87.9,±87.9
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,34,14,12,34,14,12,920,809,205,0,0,0,0,0,0,0,0,0,10,10,0,52,52,28,57,57,23
